	org_acids	simple_sugars	cpdom	peptides
120314	890.1883955366994	17.099485808602005	591.7690718856247	457.5819709105466
120322	866.6052987488846	94.90187106573569	763.4389290297702	668.4897726257869
120328	277.7994894496062	20.362528510348	295.37183781272233	273.7305186037827
120403	333.02820163805154	34.930936891084	335.8708582268689	346.1411553722928
120416	476.52924348064437	70.059721018456	504.311922157709	563.3841159439057
120419	517.9760404005068	123.49969560167199	548.9520941276485	712.6575577049605
120423	344.5410073495434	112.83880563756802	439.27972951366263	475.5523916973607
120516	638.1861530061761	42.400124418151	493.36926027002374	515.4924071818165
120531	375.0907169564598	27.846180745494003	332.4485284328898	358.86426195417386
120604	548.1472589036146	25.393093255397	562.0157631582572	479.6696740734518
120613	533.4510187941252	32.431046907227	356.66514675564247	328.74131549946577
120619	808.9817829345441	85.50193268791571	663.5510612890965	535.1182919835782
120628	770.1461071762601	75.890714794766	756.4661315097288	584.0749206581389
120705	428.0605435697474	34.041443063471995	458.9597941085054	388.69154223265537
120709	482.3505467598426	46.06767269720999	551.1713132437044	317.1749861516647
120717	627.0056963263008	70.616835838008	569.5939921713084	365.52404773020146
120802	705.4108048958469	71.351895778992	693.0650569167682	412.4525875593543
120806	526.8678548246854	51.765196494144	594.6830956740286	352.06684343448023
120813	510.18358122534846	76.3708117530843	717.4215519777877	408.9770976678285
120820	676.3489066675145	63.111159485762	741.0986942493059	495.9602032923485
120823	506.70438138276006	47.1369594216408	688.2142855151659	546.5552598824585
120828	351.03240642982695	23.292543006898	368.1305992703433	295.7972344444147
120903	439.291629739974	27.497059885549998	445.5425388776436	373.24532063082984
120920	655.3383988565721	62.35362825153351	719.1291507218206	556.9837225774371
120924	474.02305013434693	38.9889449344651	644.8845482202453	455.19004866263293
121001	667.4811275809885	62.99810934141621	732.1979357316833	583.57062772224
121004	716.3581949290276	69.91946727572801	794.922072143303	567.5739529829104
121015	498.5817455537617	57.7981864137624	638.6776854987748	494.8654525872497
121022	479.0213407404565	47.912327457268006	605.5355375191945	444.64269721741584
121028	309.93948767335246	50.705999448272	482.311412651463	296.5327082276702
121105	643.3301554015906	67.26876629078698	855.2228160980808	630.1755831129697
121128	464.4109895105714	76.857374471218	603.788161859789	490.17810698747735
121220	489.56160775113665	79.89942542225342	641.2842146502085	615.3393567185007
