TransportGroup	PFAM	TIGRFAM	COG
T72		TIGR01729|TIGR01728|TIGR01183|TIGR01184	COG4525|COG4521
T73	PF03611		COG3775|COG3414
T70			COG4594
T71			COG1447|COG1440|COG1455
T76	PF02405	TIGR00056	COG2854|COG1463|COG0767|COG1127
T77			COG1123
T74	PF13721	TIGR01129	
T75	PF09477	TIGR02508	
T78			COG4138|COG4139
T79			COG4136|COG4134|COG4135
T89			COG1668|COG4152|COG4555
T88	PF02386	TIGR00933	COG0168|COG0569
T87	PF06738|PF12821		
T86			COG0396|COG0719
T85	PF03612|PF07663		COG3731|COG3730|COG3732
T84			COG3562|COG3563
T83	PF01384		COG1392|COG0306
T82	PF00358|PF00367		COG1264|COG1263
T81	PF01475		COG0735
T80	PF01925|PF04143		COG2391|COG0730
T14		TIGR02551	COG1886
T15	PF04392|PF02653		COG4120|COG2984
T16	PF05437		COG1687|COG1296
T17	PF04995	TIGR03141	COG3114
T10	PF00950|PF01297		COG0803|COG1108
T11	PF09474	TIGR02546|TIGR02499|TIGR02511|TIGR02502|TIGR02503	COG4789
T12		TIGR02516	
T13			COG1826|COG0805
T18	PF03739	TIGR04407|TIGR04408	COG0795
T19	PF00528	TIGR03730	
T98		TIGR01188|TIGR00025	
T99			COG1613
T94		TIGR02995|TIGR03004|TIGR03005	
T95			COG4778|COG4107
T96		TIGR01948|TIGR01945|TIGR01944|TIGR01947|TIGR01946|TIGR01943	
T97			COG4779
T90	PF03824		COG2215|COG3683
T91			COG4239|COG4172|COG4174
T92	PF05525	TIGR00796	COG1114|COG0488
T93		TIGR00637	COG1119
T29	PF00528	TIGR03227|TIGR01276|TIGR01254	COG4143|COG4209
T28	PF00209|PF13520	TIGR00909	COG0733
T21	PF16572|PF01545	TIGR01845|TIGR00711|TIGR00914|TIGR00998|TIGR00915|TIGR01297	COG1566|COG0841|COG3696
T20	PF00528		
T23	PF03471		COG4137|COG4536
T22	PF02653		COG0559|COG0683|COG0411|COG0410|COG4177
T25	PF03135|PF07996|PF05101	TIGR00929	COG3702|COG3451
T24			COG3704|COG0630|COG3504|COG2948|COG3736
T27	PF00528		COG1174|COG4176|COG4175|COG2113|COG1732|COG1125
T26	PF06826	TIGR03802|TIGR01625	COG2985
T38	PF00909	TIGR00836	COG0004
T39			COG2893|COG3716|COG3715|COG3444
T36			COG1805|COG2871|COG1347|COG2209|COG1726|COG2869
T37		TIGR02473|TIGR03497|TIGR03496|TIGR03498	COG1766
T34	PF03239		COG2822|COG0672
T35			COG4604|COG4605|COG4606|COG4607
T32	PF09828|PF02417	TIGR00937	COG2059
T33		TIGR01097|TIGR03431|TIGR01098	COG3639|COG3221
T30	PF06800	TIGR00776	COG1869|COG4975
T31	PF12019	TIGR01708	
T49		TIGR01000|TIGR01193|TIGR01846	COG2274
T48		TIGR01844	
T43			COG4181|COG3127
T42	PF17001	TIGR02497	
T41	PF02653		COG1879|COG1172
T40		TIGR01187	COG1176
T47		TIGR03819|TIGR03815	
T46		TIGR02803|TIGR02797	
T45	PF07664|PF02421	TIGR00437	COG0370|COG1918
T44	PF04888	TIGR02101|TIGR02552	
T58	PF04612		COG3149
T59	PF03865|PF13018		COG2831
T50		TIGR01842	COG4618
T51		TIGR02805|TIGR02804	
T52	PF10140|PF12538	TIGR03926|TIGR03928	
T53		TIGR01277	COG3840
T54			COG4558|COG4559
T55			COG0226
T56			COG0823|COG3064
T57	PF14785		COG3833
T101		TIGR03659	
T100		TIGR03929|TIGR03930	
T103	PF06646		
T102	PF09819		
T105			COG2213
T104		TIGR00885	COG0738
T107		TIGR00439	
T106	PF02501	TIGR01707	
T109	PF05157		
T108	PF15432|PF16929		
T8		TIGR03002|TIGR04406|TIGR04409	
T9			COG4591|COG0577|COG1136
T6	PF12558|PF00528|PF00375|PF07155	TIGR02314	COG3633|COG1464|COG2011
T7	PF02563	TIGR01005	COG1682|COG1596
T4	PF05975	TIGR01288|TIGR01291	COG4473|COG1277|COG0842
T5		TIGR02857|TIGR02868	COG4987|COG4988
T2	PF00528		COG4161|COG4160|COG4598|COG1126|COG0765|COG4597
T3			COG5266
T0	PF09621	TIGR02572	
T1	PF03334	TIGR01300	COG1320
T69	PF02653		COG4211
T68	PF02653	TIGR02633|TIGR02634	COG4214|COG4213
T65	PF00892		COG0697
T64	PF09480	TIGR02554	
T67	PF02653		COG1744|COG3845|COG4603|COG1079
T66			COG4619|COG0390
T61	PF03814|PF02669	TIGR00681|TIGR00680	COG2060|COG2156
T60	PF01298|PF07660	TIGR01776|TIGR01786	
T63	PF09482	TIGR02555	
T62	PF03401|PF03600	TIGR00784	COG2851
