	0	1	2
Acidimicrobiales	0.9058823529411765	0.5411764705882353	0.7647058823529411
Burkholderiales	0.9686274509803922	0.5058823529411764	0.7490196078431373
Cellvibrionales	0.30196078431372547	0.6862745098039216	0.2901960784313726
Cytophagales	1.0	0.4980392156862745	0.0
Flavobacteriales	0.5529411764705883	0.8274509803921568	0.7803921568627451
Methylophilales	0.8941176470588236	0.10196078431372549	0.10980392156862745
Pelagibacterales	0.21568627450980393	0.49411764705882355	0.7215686274509804
Rhodobacterales	1.0	1.0	0.7019607843137254
Rhodospirillales	0.9882352941176471	0.5529411764705883	0.3843137254901961
Sphingobacteriales	0.596078431372549	0.3058823529411765	0.6392156862745098
Sphingomonadales	0.4	0.7607843137254902	0.6470588235294118
Unclassified.Actinobacteria	0.6	0.6	0.6
Unclassified.Alphaproteobacteria	0.7372549019607844	0.5019607843137255	0.7411764705882353
Unclassified.Bacteria	0.9882352941176471	0.803921568627451	0.8980392156862745
Unclassified.Bacteroidetes	0.7019607843137254	0.8705882352941177	0.4117647058823529
Unclassified.Betaproteobacteria	1.0	1.0	0.2
Unclassified.Flavobacteriia	0.6509803921568628	0.33725490196078434	0.1568627450980392
Unclassified.Gammaproteobacteria	0.7450980392156863	0.7294117647058823	0.8549019607843137
Unclassified.Opitutae	0.984313725490196	0.5019607843137255	0.4470588235294118
Unclassified.Planctomycetes	0.5529411764705883	0.6274509803921569	0.796078431372549
Unclassified.Proteobacteria	0.5019607843137255	0.6941176470588235	0.8274509803921568
Unclassified.Sphingobacteriia	0.9921568627450981	0.7058823529411765	0.3843137254901961
Unclassified.Verrucomicrobia	0.8941176470588236	0.10196078431372549	0.10980392156862745
Verrucomicrobiales	0.8509803921568627	0.8509803921568627	0.8509803921568627
